method,p0,q0,istate,model,"SE, adi, hist inf","SE, adi, KDE inf","SE, adi, KL inf","SH, adi, hist inf","SH, adi, KDE inf","SH, adi, KL inf","SE, dia, hist inf","SE, dia, KDE inf","SE, dia, KL inf","SE, adi, average","SH, adi, average","SE, dia, average"
FSSH_g_minus,20.0,-6.0,0,Tully1,0.00046939928611188853,0.0004911300576248382,-8.992876620160992,0.000653268082224628,0.0006772030735849798,-12.697792336528632,0.00039580463387933155,0.00042640835167470517,-15.701661329527065,0.003474229223287057,0.01058355648652863,0.0032542489580724802
FSSH_g_plus,20.0,-6.0,0,Tully1,0.00034646409539392686,0.00036437746921754664,-9.519506269278718,0.0006273447707639562,0.0007036958106985651,-13.31785126391725,0.00025398567577904365,0.0002957860528240083,-16.792080606790346,0.005323163164403392,0.006966285147894344,0.004945821053198254
FSSH_g_jt,20.0,-6.0,0,Tully1,0.0007662492623718483,0.0008756418000268099,-8.885957456714047,0.00079997600742291,0.000875158047447113,-13.057896333291945,0.0007264415062793758,0.0008397224934659726,-16.384365693633754,0.014895399985616899,0.019122288015099246,0.014702612715882298
IDA_FSSH_g_minus,20.0,-6.0,0,Tully1,0.0029980431176232134,0.0032121809643186855,-7.919297687655546,0.003112142344589675,0.0031824478320773937,-11.718256713890591,0.004959834265303876,0.004486924008230045,-14.144255537462273,0.03141088308973659,0.039739358854222626,0.042527551816047296
FSSH_h_minus,20.0,-6.0,0,Tully1,0.000355803950879615,0.0003816303369933547,-9.054783772028376,0.000790925526957821,0.0009172253891861894,-12.225040850138528,0.0003616199035322472,0.00040049417832343885,-14.878078403865407,0.005877741510723054,0.01843202070091148,0.005619871066568698
FSSH_v_minus,20.0,-6.0,0,Tully1,0.00031255595481769535,0.0003268274280808924,-9.846654305343874,0.0007551807385338773,0.0008870484755454188,-13.54082844065407,0.00022453354487696143,0.0002493452693693751,-17.364503290521053,0.004185819260089254,0.02127729171722953,0.003850854639924199
FSSH_g_minus,20.0,-6.0,1,Tully1,0.0005694440310572593,0.00065867656192392,-10.718025497663666,0.0010846137138693012,0.0011148682607271118,-14.582051547904396,0.00025373834333056134,0.00027512708155219383,-17.476373058159165,0.0035881370370690825,0.015523191097513208,0.0018632135905774522
FSSH_g_plus,20.0,-6.0,1,Tully1,0.00022696001866640854,0.00020594301656362587,-11.075930997085036,0.0008032765844973709,0.0008527940673597582,-14.594895434362465,0.00019281187135374513,0.00022275360649869498,-17.551402668547727,0.001462247549327133,0.009690181650199095,0.0034889139147863723
FSSH_g_jt,20.0,-6.0,1,Tully1,0.00040747388073580606,0.00048373761288705353,-10.67501207070642,0.0008389359403646182,0.0008715025093923567,-14.889343155993641,0.0004922204707319803,0.0005880619605791369,-17.782210588588836,0.008144905667545301,0.010112648523118986,0.010748023303848275
IDA_FSSH_g_minus,20.0,-6.0,1,Tully1,0.0022422145723465284,0.002414721924176433,-9.774349850178274,0.0028160786128670462,0.0032448672741764314,-13.719184251952834,0.004584293422505597,0.00477742408029883,-15.918070039856815,0.03199304487335118,0.07674390373301183,0.0462861159573487
FSSH_h_minus,20.0,-6.0,1,Tully1,0.00017275906714496676,0.00018069962348923286,-11.144908530169467,0.0008679184839906548,0.001002505897753446,-15.04859262467634,0.00016550450705626473,0.00019375129722210786,-18.024952123699876,0.0011580037867254085,0.022465500480649915,0.0031129962281610042
FSSH_v_minus,20.0,-6.0,1,Tully1,0.0004326014575047435,0.000467265569269098,-10.733580635104861,0.0008213594956167368,0.0008890257365830612,-14.466928603264842,0.0002411273087550863,0.0002777842143701223,-17.292523892258593,0.0026884725241508667,0.012369433312882809,0.004289809413014357
FSSH_g_minus,20.0,-10.0,0,Tully1,0.0003284316300665178,0.00034944077557539537,-10.166105587381683,0.0009336385558792055,0.0010206190484496613,-11.11892375916775,0.0002976981257085684,0.00031200624988627013,-12.246573898967345,0.004236321378764655,0.014284227140984127,0.0038189608808024134
FSSH_g_plus,20.0,-10.0,0,Tully1,0.00033053574818824776,0.0003449859746401402,-9.956228201938371,0.0008734083269364558,0.0009486524972933052,-10.963114161227,0.00029630177614878,0.00031166694706672766,-11.945198634195766,0.00404350927032327,0.013008619485379232,0.003438757702136218
