method,p0,q0,istate,model,"SE, adi, hist inf","SE, adi, KDE inf","SE, adi, KL inf","SH, adi, hist inf","SH, adi, KDE inf","SH, adi, KL inf","SE, dia, hist inf","SE, dia, KDE inf","SE, dia, KL inf","SE, adi, average","SH, adi, average","SE, dia, average"
FSSH_g_minus,20.0,-6.0,0,Tully1,0.003909627541232295,0.0047987201228429244,-11.236378614721803,0.003692529091392619,0.004653247650295884,-13.198944270374307,0.003777500266279287,0.004677605991685274,-13.589750710443257,0.11968575468014699,0.11989433086247292,0.11878781119402754
FSSH_g_plus,20.0,-6.0,0,Tully1,0.0036209475504632434,0.0046659389909695405,-11.332903764736955,0.0036114775878842388,0.004401140919496389,-13.29571983254617,0.003520427160575432,0.004510390410017302,-14.018905959260644,0.11993436837277516,0.11997645289105685,0.11903749057471016
FSSH_g_jt,20.0,-6.0,0,Tully1,0.004181016331106056,0.005179026147263614,-11.083693597967052,0.0038023726187363218,0.004824302834478299,-13.29467652586376,0.003888901469175295,0.004974332053400267,-13.84253410728971,0.12048581510873156,0.12078379908545638,0.11962663373127354
IDA_FSSH_g_minus,20.0,-6.0,0,Tully1,0.004214588730604773,0.005056509600904614,-10.751805181592369,0.005178222512630427,0.006046060855804904,-12.608523840016758,0.005203164719489616,0.006032089112194808,-13.201839778527699,0.08459326454897087,0.08632674521772475,0.08752480108841865
FSSH_h_minus,20.0,-6.0,0,Tully1,0.0037641392038606364,0.004839555946852095,-11.180880155452824,0.0037854506875411222,0.004797321991950947,-12.859042778542248,0.00385218060788564,0.004790259103736037,-13.16836669346474,0.1199338499977236,0.12056833807514492,0.1190459481254488
FSSH_v_minus,20.0,-6.0,0,Tully1,0.0035491847626705673,0.004654682642618375,-11.622582668288098,0.0036268182891473475,0.00462594286916401,-13.496139642371906,0.0035092212240650017,0.004584314825269539,-14.392135574166732,0.11991990905075949,0.12082377918569424,0.11902064445017128
FSSH_g_minus,20.0,-6.0,1,Tully1,0.003784921429282648,0.004676613124718742,-11.65004975201349,0.004577417998783044,0.005398337863285033,-13.593855108015237,0.0033594536941382947,0.004106200222230566,-13.813719423967857,0.12092481184632932,0.12139545908845484,0.11999391381515294
FSSH_g_plus,20.0,-6.0,1,Tully1,0.0034218627419003046,0.0040858441469648074,-11.92837313104774,0.004375955668157695,0.005537841873011951,-13.656652501782501,0.003468457963953814,0.004413312518700325,-13.925189251169163,0.12089318197171807,0.12108279057531714,0.12000255767407467
FSSH_g_jt,20.0,-6.0,1,Tully1,0.0037786902292076237,0.004877597228602287,-11.841999980387191,0.004220288434364713,0.005331784790321157,-13.956086279586298,0.003636484173354942,0.004663213560818096,-13.989790581433356,0.12158515267930915,0.12165900064508331,0.12076109224337636
IDA_FSSH_g_minus,20.0,-6.0,1,Tully1,0.0038980530375995596,0.004756857742129615,-11.4554679829621,0.0029657396008148933,0.0036938745925218894,-13.636983601021075,0.004966179155479602,0.005829371527517772,-13.420385064877319,0.08576721942374756,0.09893963739390813,0.08944380583241335
FSSH_h_minus,20.0,-6.0,1,Tully1,0.00334641560025524,0.003882948477971357,-11.925644937462849,0.004317527467271308,0.005505114319428126,-13.836351985774558,0.003386348087774107,0.004346334486016239,-14.100591757531124,0.12092584186896276,0.12196203549160449,0.12003357872105432
FSSH_v_minus,20.0,-6.0,1,Tully1,0.0037644338962417086,0.004571415373556931,-11.911195093827793,0.004573410800605281,0.005537522317068297,-13.726939963359218,0.0034992851258139773,0.004481956292124991,-13.802418684839012,0.12091968807822068,0.1212207014619143,0.12003165207574643
FSSH_g_minus,20.0,-10.0,0,Tully1,0.004148675443368694,0.005084602280700105,-12.109272981256106,0.0043261008416902395,0.005180892977487702,-12.654277596995511,0.004056029111160559,0.004865868520700878,-13.121161726577403,0.11594972387023873,0.11635026784962782,0.11446905622741939
FSSH_g_plus,20.0,-10.0,0,Tully1,0.004093427297988363,0.00499592913764147,-11.77920090929416,0.004347030982684517,0.005169675140643905,-12.302137305879782,0.004124522703562943,0.004916040496426104,-12.879757597237244,0.1159343491296728,0.11626353863085781,0.11444516664257108
FSSH_g_jt,20.0,-10.0,0,Tully1,0.004859851821116502,0.005775697385400262,-11.741921060657932,0.004590388573966834,0.005504621428226747,-12.434743700719135,0.004627472028409267,0.005502611486953574,-13.142798767466125,0.11612234289698847,0.11707704626752459,0.11468854713122999
IDA_FSSH_g_minus,20.0,-10.0,0,Tully1,0.004331082007633023,0.004942926368444006,-11.567643559017627,0.0054346338802309675,0.005991613467305518,-12.063178968432505,0.005385184970776633,0.006253177498285449,-12.621785830314051,0.08593941716665242,0.08834626502251379,0.08794576481521185
FSSH_h_minus,20.0,-10.0,0,Tully1,0.004420140135281945,0.005289007782467586,-11.678643627744547,0.004469757878465126,0.005300714553608221,-12.247997669815694,0.004363505450191508,0.005302982680249099,-12.732886613504968,0.11544536325312751,0.11584206268289761,0.11397067877146612
FSSH_v_minus,20.0,-10.0,0,Tully1,0.00443722160638008,0.005362350431827316,-11.72354054174857,0.0043580359699947205,0.005329745314944087,-12.358209747657659,0.00419027643602141,0.005095306925886492,-13.030085515920376,0.11610299551257451,0.11629900514411254,0.11461520033541825
FSSH_g_minus,20.0,-10.0,1,Tully1,0.003868256412137593,0.004501268534543362,-13.25585570051794,0.004750903135168278,0.005649026192301357,-13.471518443697637,0.003817194688346303,0.004679691692796904,-13.82847561353163,0.11604144861604429,0.11630885983356917,0.11457921739457198
FSSH_g_plus,20.0,-10.0,1,Tully1,0.0035512145657961925,0.004416358905719966,-13.227525520855759,0.004856065447766951,0.005808835579596868,-13.162132414816096,0.004065348550814794,0.0047718600833104915,-13.752316979168791,0.11594174841276185,0.11606324179166214,0.11448105416222945
