p0,q0,istate,model,"adi, hist inf","adi, KDE inf","adi, KL inf","dia, hist inf","dia, KDE inf","dia, KL inf"
20.0,-6.0,0,Tully1,0.03679503047707817,0.037311970361196094,-3.839508587136968,0.03667303053823028,0.037179866542208256,-7.3137436344560545
20.0,-6.0,1,Tully1,0.03635371519025267,0.037898590837464975,-4.966859505473666,0.03571875817785069,0.037007801318651445,-7.650086881473179
20.0,-10.0,0,Tully1,0.02874498589049317,0.031033911636941424,-6.19464870476063,0.028492642210236976,0.030936987240194485,-7.628849988350416
20.0,-10.0,1,Tully1,0.027938835251468976,0.03033272948154457,-6.937138656895007,0.028814468336608157,0.030955938783790746,-7.934231335513611
10.0,-6.0,0,Tully1,0.02665638353470431,0.027779549994103137,-8.006524811262125,0.03119558225094426,0.03253778350745941,-7.51280181366788
10.0,-6.0,1,Tully1,0.02689404893576417,0.02790440374470419,-8.126696597198208,0.029914667113706172,0.03138604661798435,-7.926290470459631
20.0,-6.0,0,Tully2,0.02324954399960574,0.02429662658797866,-4.078852869326005,0.03561344569384869,0.036341904526368034,-2.4727264394472064
20.0,-6.0,1,Tully2,0.020386852073530984,0.02165956098832541,-5.150359400678603,0.02802754047378392,0.028576938151277306,-3.3444504480501407
20.0,-10.0,0,Tully2,0.02351422094265773,0.024425981051695706,-4.166316140370628,0.03550060761472835,0.03596659066449298,-2.2306874431711754
20.0,-10.0,1,Tully2,0.020988351261066907,0.02188861796347794,-4.916873194174022,0.027933605709539164,0.02849169913851404,-2.6371969136008686
10.0,-6.0,0,Tully2,0.024598579579230444,0.025128226303157895,-3.427255571541733,0.041922591137443295,0.042207261112504044,-0.9227731186133801
10.0,-6.0,1,Tully2,0.024217512718405134,0.024672608560009315,-3.4799716544117123,0.032210307914855435,0.032400732703269416,-1.5584858365009864
